run_cliente,dv,nom_cliente,ape_pat_cliente,ape_mat_cliente,dir_cliente,fono_cliente,correo_cliente 
0028628314,1,Eustanch,Quarrell,Mirfin,943 Pepper Wood Drive,540 832 4563,omirfin0@home.pl
8013313948,9,Candie,Codi,Carillo,68591 Jenifer Point,568 476 9156,ycarillo1@youtube.com
5347501456,9,Lincey,McPhilemy,Kraut,64049 Cardinal Avenue,231 986 5207,jkraut2@booking.com
5307385277,7,Fernando,Spillett,Witherington,99 Vahlen Drive,988 981 3786,owitherington3@wikipedia.org
7810114115,8,Snawdon,Inseal,Sherlaw,4 Elgar Trail,106 679 6823,jsherlaw4@bigcartel.com
7405947700,5,Messitt,Pobjay,Gullefant,16 Glendale Crossing,266 127 0098,cgullefant5@ihg.com
8602716656,2,Brognot,Biss,Petken,921 Algoma Court,772 904 4739,spetken6@altervista.org
8956199949,5,Diloway,Bonick,Antoniazzi,98 Pleasure Way,112 805 3379,hantoniazzi7@flickr.com
5262845320,7,Benediktsson,Filipchikov,Ludgrove,9 Welch Court,637 338 4040,gludgrove8@bbc.co.uk
7611631543,9,Roadnight,Figgs,Pillifant,907 Sage Terrace,938 792 9530,mpillifant9@flavors.me
7719769481,1,Glasson,Calvie,Jacobowits,2077 Bunting Trail,409 909 9622,rjacobowitsa@dailymail.co.uk
2927314705,3,Monday,Hayes,Chettle,30 Knutson Hill,417 389 0424,schettleb@woothemes.com
1133883052,2,Morena,Wenderott,Harpur,62 Esker Hill,981 809 4532,eharpurc@squarespace.com
0848622839,3,Lewing,Lemerie,Stoddard,39 Muir Pass,116 971 5799,wstoddardd@cisco.com
3047963371,2,Mapplethorpe,Dundridge,Corstorphine,727 Wayridge Drive,827 881 2282,kcorstorphinee@delicious.com
4923103582,7,Studdeard,Clutheram,Lockhead,179 Manufacturers Road,943 973 4767,slockheadf@shareasale.com
9935311023,6,Warlton,MacNish,Gonneau,2 Ohio Avenue,369 157 4004,dgonneaug@friendfeed.com
9726103436,6,Dale,Nares,Capper,204 Kropf Crossing,659 271 3013,ocapperh@constantcontact.com
4554450651,9,Bailess,Gasparro,Durbridge,76028 1st Pass,185 569 3533,adurbridgei@fotki.com
1709379502,8,Cuckoo,Jodrellec,Coucher,28 Express Pass,227 606 9822,scoucherj@sbwire.com
